Country or Area,Country or Area Code,Age Group,Indicator,Date - Year,Value - Mean age at childbearing (MAC),Series,DataType,Data Source Type,Survey Programme,Data Source Inventory ID,Data Source Name,Data Source Name (short),Data Source Start Year,Data Source End Year,Reference,Reference Year
Albania,8,[Total],MAC,1958.5,30.8123,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1958,1958,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1959.5,30.59322,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1959,1959,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1960.5,31.30852,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1960,1960,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1960.5,31.01405,"Register,Direct,Fertility Transition in Communist Albania, 1950-90,471-16-39304",Direct,Register,VR,471,Vital Registration,Register,1960,1960,"Fertility Transition in Communist Albania, 1950-90",2001
Albania,8,[Total],MAC,1961.5,31.07844,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1961,1961,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1962.5,31.114,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1962,1962,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1963.5,30.88321,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1963,1963,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1964.5,30.65326,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1964,1964,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1965.5,30.62305,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1965,1965,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1965.5,30.53159,"Register,Direct,Fertility Transition in Communist Albania, 1950-90,471-16-39304",Direct,Register,VR,471,Vital Registration,Register,1965,1965,"Fertility Transition in Communist Albania, 1950-90",2001
Albania,8,[Total],MAC,1966.5,30.35654,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1966,1966,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1967.5,30.2061,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1967,1967,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1968.5,29.71849,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1968,1968,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1969.5,29.60938,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1969,1969,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1970.5,29.74913,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1970,1970,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1970.5,29.674,"Register,Direct,Fertility Transition in Communist Albania, 1950-90,471-16-39304",Direct,Register,VR,471,Vital Registration,Register,1970,1970,"Fertility Transition in Communist Albania, 1950-90",2001
Albania,8,[Total],MAC,1971.5,29.64052,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1971,1971,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1972.5,29.59612,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1972,1972,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1973.5,29.56481,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1973,1973,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1974.5,29.49778,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1974,1974,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1975.5,29.44309,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1975,1975,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1975.5,29.17743,"Register,Direct,Fertility Transition in Communist Albania, 1950-90,471-16-39304",Direct,Register,VR,471,Vital Registration,Register,1975,1975,"Fertility Transition in Communist Albania, 1950-90",2001
Albania,8,[Total],MAC,1976.5,29.38417,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1976,1976,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1977.5,29.32044,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1977,1977,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1978.5,29.22832,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1978,1978,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1979.5,29.12806,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1979,1979,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1980.5,29.09472,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1980,1980,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1981.5,29.04051,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1981,1981,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1982.5,29.07886,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1982,1982,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1983.5,28.93071,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1983,1983,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1984.5,28.97046,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1984,1984,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1985.5,28.77944,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1985,1985,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1986.5,28.59187,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1986,1986,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1987.5,28.6295,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1987,1987,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1988.5,28.46773,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1988,1988,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1989.5,28.38928,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1989,1989,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1990.5,28.42294,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1990,1990,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1991.5,28.23951,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1991,1991,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1991.582397461,27.6312,"2008-2009 DHS,Birth Histories (Extrapolated),DHS,4483-147-39167",Extrapolated from Truncated Birth Histories,Survey,DHS,4483,Albania 2008-2009 Demographic and Health Survey,2008-2009 DHS,2008,2009,DHS Statcompiler,2012
Albania,8,[Total],MAC,1992.5,27.88652,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1992,1992,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1993.5,27.70257,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1993,1993,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1994.5,27.57299,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1994,1994,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1995.5,27.51356,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1995,1995,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1996.5,27.56137,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1996,1996,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1996.582885742,26.74617,"2008-2009 DHS,Birth Histories (Extrapolated),DHS,4483-147-39167",Extrapolated from Truncated Birth Histories,Survey,DHS,4483,Albania 2008-2009 Demographic and Health Survey,2008-2009 DHS,2008,2009,DHS Statcompiler,2012
Albania,8,[Total],MAC,1997.5,27.47373,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1997,1997,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1998.5,27.43237,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1998,1998,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1999.5,27.50805,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1999,1999,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2000.5,27.77824,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,2000,2000,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2001.290039062,27.08574,"2002 RHS,Direct,DHS,1681-16-39167",Direct,Survey,RHS,1681,Albania 2002 Reproductive Health Survey,2002 RHS,2002,2002,DHS Statcompiler,2012
Albania,8,[Total],MAC,2001.5,28.76746,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,2001,2001,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2001.582885742,26.76501,"2008-2009 DHS,Birth Histories (Extrapolated),DHS,4483-147-39167",Extrapolated from Truncated Birth Histories,Survey,DHS,4483,Albania 2008-2009 Demographic and Health Survey,2008-2009 DHS,2008,2009,DHS Statcompiler,2012
Albania,8,[Total],MAC,2002.5,28.02053,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,2002,2002,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2003.5,27.89983,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,2003,2003,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2004.5,27.96859,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,2004,2004,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2005.5,27.75758,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,2005,2005,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2006.5,27.86121,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,2006,2006,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2006.581298828,27.13873,"2008-2009 DHS,Direct,DHS,4483-16-39167",Direct,Survey,DHS,4483,Albania 2008-2009 Demographic and Health Survey,2008-2009 DHS,2008,2009,DHS Statcompiler,2012
Albania,8,[Total],MAC,2007.5,28.21865,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,2007,2007,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2007.581298828,26.99685,"2008-2009 DHS,Direct,DHS,4483-16-39167",Direct,Survey,DHS,4483,Albania 2008-2009 Demographic and Health Survey,2008-2009 DHS,2008,2009,DHS Statcompiler,2012
Albania,8,[Total],MAC,2008.5,28.89154,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,2008,2008,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,2011.5,27.37908,"2011 Census,Computed rate from DYB,DYB,4808-135-39441",Computed rate from DYB,Census,Census,4808,Albania 2011 Census,2011 Census,2011,2011,Demographic Yearbook,2013
Algeria,12,[Total],MAC,1954.332306,29.69496,"1954 Census,Recent births,Age Patterns of Fertility in Five Arab Countries,1143-62-39522",Recent births,Census,Census,1143,Algeria 1954 Census,1954 Census,1954,1954,Age Patterns of Fertility in Five Arab Countries,1971
Algeria,12,[Total],MAC,1965.757357,29.95791,"1966 Census,Recent births,Les problemes de la collecte démographique en Algérie,397-62-39525",Recent births,Census,Census,397,Algeria 1966 Census,1966 Census,1966,1966,Les problemes de la collecte démographique en Algérie,1975
Algeria,12,[Total],MAC,1970.001026,30.47173,"1970-1971 EF,Recent births,La fecondite en Algerie. Niveaux--tendances--facteurs,648-62-39524",Recent births,Survey,Survey,648,Algeria 1970-1971 Enquête fécondité,1970-1971 EF,1970,1971,La fecondite en Algerie. Niveaux--tendances--facteurs,1975
Algeria,12,[Total],MAC,1970.001026,30.35103,"1970-1971 EF,Recent births,Enquête Fécondité 1970,648-62-39461",Recent births,Survey,Survey,648,Algeria 1970-1971 Enquête fécondité,1970-1971 EF,1970,1971,Étude Statistique Nationale de la Population 1969-1971: Enquête Fécondité 1970,1992
Algeria,12,[Total],MAC,1977.5,30.48719,"Register,Direct,Annuaire statistique de l'Algerie 1986-87,495-16-39259",Direct,Register,VR,495,Vital Registration,Register,1977,1977,Annuaire statistique de l'Algerie 1986-87,1987
Algeria,12,[Total],MAC,1982.5,30.75203,"Register,Direct,Annuaire statistique de l'Algerie 1986-87,495-16-39259",Direct,Register,VR,495,Vital Registration,Register,1982,1982,Annuaire statistique de l'Algerie 1986-87,1987
Algeria,12,[Total],MAC,1984.5,31.77662,"1986-1987 ENF,Birth Histories,1986-1987 ENF,693-63-39460",Birth histories,Survey,WFS,693,Algeria 1986-1987 Enquête nationale sur la fécondité,1986-1987 ENF,1986,1987,Enquête nationale algérienne sur la Fécondité 1986,1992
Algeria,12,[Total],MAC,1986.719028,34.1736,"1987 Census,Recent births,RGPH 1987, Données Synthetiques,1282-62-39462",Recent births,Census,Census,1282,Algeria 1987 Census,1987 Census,1987,1987,"RGPH 1987, Données Synthetiques",1989
Algeria,12,[Total],MAC,1987.5,31.2051,"Register,Direct,Natalité algérienne entre 1970 et 1986,495-16-39320",Direct,Register,VR,495,Vital Registration,Register,1987,1987,Natalité algérienne entre 1970 et 1986,1992
Algeria,12,[Total],MAC,1990.292602539,31.37036,"2002 MCH,Birth Histories (Extrapolated),2002 MCH report,149-147-39458",Extrapolated from Truncated Birth Histories,Survey,PAPFAM,149,Algeria 2002 Enquête sur la santé de la famille,2002 MCH,2002,2002,Enquête Algérienne sur la Santé de la Famille 2002 - Rapport Principal,2004
