Country or Area,Country or Area Code,Age Group,Indicator,Date - Year,Value - Total fertility (TFR),Series,DataType,Data Source Type,Survey Programme,Data Source Inventory ID,Data Source Name,Data Source Name (short),Data Source Start Year,Data Source End Year,Reference,Reference Year
Afghanistan,4,[Total],TFR,1992,7.996823,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1992.311035156,9.780281,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1993,8.101548,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1993,7.441386,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1993.121917808,8.69541,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],TFR,1993.311035156,9.542144,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1994,7.398959,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1994,8.162135,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1994.311035156,9.361716,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1995,8.14516,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1995,7.332899,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1995.311035156,9.285717,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1996,7.249134,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1996,8.048287,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1996.311035156,9.243468,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1997,7.90644,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1997,7.179077,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1997.311035156,9.060212,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1998,7.123941,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1998,7.720829,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1998.121917808,8.247192,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],TFR,1998.299452,8.156764,"2015 DHS,Birth Histories (Extrapolated),DHS,5689-147-41264",Extrapolated from Truncated Birth Histories,Survey,DHS,5689,Afghanistan 2015 Demographic and Health Survey,2015 DHS,2015,2016,Afghanistan Demographic and Health Survey 2015,2017
Afghanistan,4,[Total],TFR,1998.311035156,8.761432,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1999,7.477593,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1999,7.071224,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1999.311035156,8.393266,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2000,7.176359,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,2000,7.000503,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2000.311035156,7.945991,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2000.541137695,8.554925,"2000 MICS,Arriaga-Mortara CEB method,Computed",Arriaga-Mortara CEB method,Survey,MICS,2893,Afghanistan 2000 Multiple Indicator Cluster Survey,2000 MICS,2000,2000,United Nations Population Division,2006
Afghanistan,4,[Total],TFR,2000.541137695,9.326399,"2000 MICS,Arriaga modified P/F Ratio method,Computed",P/F Ratio method (Arriaga),Survey,MICS,2893,Afghanistan 2000 Multiple Indicator Cluster Survey,2000 MICS,2000,2000,United Nations Population Division,2006
Afghanistan,4,[Total],TFR,2001,6.807975,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,2001,6.906317,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2001.311035156,7.425396,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2002,6.364428,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,2002,6.800149,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2002.311035156,6.768436,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2003,5.832181,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,2003,6.663135,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2003.121917808,7.577427,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],TFR,2003.299452,7.947961,"2015 DHS,Birth Histories (Extrapolated),DHS,5689-147-41264",Extrapolated from Truncated Birth Histories,Survey,DHS,5689,Afghanistan 2015 Demographic and Health Survey,2015 DHS,2015,2016,Afghanistan Demographic and Health Survey 2015,2017
Afghanistan,4,[Total],TFR,2003.311035156,5.989929,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2003.497192383,6.318635,"2003 MICS,Arriaga-Mortara CEB method,Computed",Arriaga-Mortara CEB method,Survey,MICS,1925,Afghanistan 2003 Multiple Indicator Cluster Survey,2003 MICS,2003,2003,United Nations Population Division,2006
Afghanistan,4,[Total],TFR,2003.497192383,7.307763,"2003 MICS,Arriaga modified P/F Ratio method,Computed",P/F Ratio method (Arriaga),Survey,MICS,1925,Afghanistan 2003 Multiple Indicator Cluster Survey,2003 MICS,2003,2003,United Nations Population Division,2006
Afghanistan,4,[Total],TFR,2004,5.113554,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,2004,6.8,"2003-2005 HH Listing,Rele's regression method,Computed",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,2004,6.364343,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2004.311035156,5.148455,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2005.311035156,4.232508,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2005.810424805,8.467266,"2006 HS,Arriaga modified P/F Ratio method,Computed",P/F Ratio method (Arriaga),Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2008
Afghanistan,4,[Total],TFR,2006.311035156,3.191428,"2006 HS,Reverse survival methods,Computed",Reverse survival method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2006.810439560,6.91715,"2006 HS,Arriaga-Mortara CEB method,Computed",Arriaga-Mortara CEB method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2008
Afghanistan,4,[Total],TFR,2007.208333333,5.275,"2007-2008 NRVA,Recent births,Computed",Recent births,Survey,Survey,4465,Afghanistan 2007-2008 National Risk and Vulnerability Assessment,2007-2008 NRVA,2007,2008,United Nations Population Division,2010
Afghanistan,4,[Total],TFR,2007.208333333,6.891987,"2007-2008 NRVA,Relational Gompertz model,Computed",Relational Gompertz model,Survey,Survey,4465,Afghanistan 2007-2008 National Risk and Vulnerability Assessment,2007-2008 NRVA,2007,2008,United Nations Population Division,2010
Afghanistan,4,[Total],TFR,2007.5,6.3,"Estimates,Direct,DYB,2028-16-39441",Direct,Estimate,Estimate,2028,All sources of estimates,Estimates,2007,2007,Demographic Yearbook,2013
Afghanistan,4,[Total],TFR,2008.121917808,5.66,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],TFR,2008.299452,7.269884,"2015 DHS,Birth Histories,DHS,5689-63-41264",Birth histories,Survey,DHS,5689,Afghanistan 2015 Demographic and Health Survey,2015 DHS,2015,2016,Afghanistan Demographic and Health Survey 2015,2017
Afghanistan,4,[Total],TFR,2008.5,6.3,"Estimates,Direct,DYB,2028-16-39441",Direct,Estimate,Estimate,2028,All sources of estimates,Estimates,2008,2008,Demographic Yearbook,2013
Afghanistan,4,[Total],TFR,2009.121917808,5.11,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],TFR,2009.5,6.3,"Estimates,Direct,DYB,2028-16-39165",Direct,Estimate,Estimate,2028,All sources of estimates,Estimates,2009,2009,Demographic Yearbook,2011
Afghanistan,4,[Total],TFR,2011.079956055,2.703198,"2010-2011 MICS,Recent births,Computed",Recent births,Survey,MICS,4983,Afghanistan 2010-2011 Multiple Indicator Cluster Survey,2010-2011 MICS,2010,2011,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2011.079956055,6.57716,"2010-2011 MICS,Relational Gompertz model,Computed",Relational Gompertz model,Survey,MICS,4983,Afghanistan 2010-2011 Multiple Indicator Cluster Survey,2010-2011 MICS,2010,2011,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,2011.079956055,3.338032,"2011-2012 NRVA,Recent births,Computed",Recent births,Survey,Survey,5252,Afghanistan 2011 National Risk and Vulnerability Assessment,2011-2012 NRVA,2011,2012,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,2011.079956055,6.216893,"2011-2012 NRVA,Relational Gompertz model,Computed",Relational Gompertz model,Survey,Survey,5252,Afghanistan 2011 National Risk and Vulnerability Assessment,2011-2012 NRVA,2011,2012,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,2013.299452,5.505,"2015 DHS,Birth Histories,DHS,5689-63-41264",Birth histories,Survey,DHS,5689,Afghanistan 2015 Demographic and Health Survey,2015 DHS,2015,2016,Afghanistan Demographic and Health Survey 2015,2017
Afghanistan,4,[Total],TFR,2014.299452,5.29,"2015 DHS,Direct,DHS,5689-16-41264",Direct,Survey,DHS,5689,Afghanistan 2015 Demographic and Health Survey,2015 DHS,2015,2016,Afghanistan Demographic and Health Survey 2015,2017
Albania,8,[Total],TFR,1955.5,6.77933,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1955,1955,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1956.5,6.29409,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1956,1956,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1957.5,5.82721,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1957,1957,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1958.5,6.22798,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1958,1958,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1959.5,6.22508,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1959,1959,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1960.5,6.57275,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1960,1960,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1960.5,6.8525,"Register,Direct,Fertility Transition in Communist Albania, 1950-90,471-16-39304",Direct,Register,VR,471,Vital Registration,Register,1960,1960,"Fertility Transition in Communist Albania, 1950-90",2001
Albania,8,[Total],TFR,1961.5,6.21433,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1961,1961,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1962.5,5.93193,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1962,1962,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1963.5,5.87915,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1963,1963,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1964.5,5.65883,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1964,1964,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1965.5,5.2755,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1965,1965,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1965.5,5.587,"Register,Direct,Fertility Transition in Communist Albania, 1950-90,471-16-39304",Direct,Register,VR,471,Vital Registration,Register,1965,1965,"Fertility Transition in Communist Albania, 1950-90",2001
Albania,8,[Total],TFR,1966.5,5.05941,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1966,1966,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1967.5,5.23361,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1967,1967,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1968.5,5.25896,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1968,1968,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1969.5,5.55506,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1969,1969,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1970.5,5.11762,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1970,1970,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1970.5,5.161,"Register,Direct,Fertility Transition in Communist Albania, 1950-90,471-16-39304",Direct,Register,VR,471,Vital Registration,Register,1970,1970,"Fertility Transition in Communist Albania, 1950-90",2001
Albania,8,[Total],TFR,1971.5,5.20544,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1971,1971,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],TFR,1972.5,5.04965,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1972,1972,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
